100 Things to do Before High School,TEENNCK,43351,44252,-0.0207838343
Hip Hop Squares,VH1,149968,151117,-0.0076616345
Gravity Falls,DISNEYXD,82446,80866,0.0191640589
Keeping Up with the Kardashians,E!,128050,132765,-0.0368215541
The Real Housewives of New York City,BRAVO,124617,119532,0.0408050266
SpongeBob SquarePants,NICK,755417,746578,0.0117008222
Fangbone!,DISNEYXD,76495,72116,0.0572455716
The Middle,FREEFORM,154399,151958,0.0158096879
Pokémon The Series: XY,DISNEYXD,82785,85779,-0.0361659721
Milo Murphy's Law,DISNEYXD,93866,96903,-0.0323546332
The Middle,FREEFORM,183051,180843,0.0120622122
Walk the Prank,DISNEYXD,122351,120300,0.0167632467
The Real Housewives of Beverly Hills,BRAVO,193353,192319,0.0053477319
Sanford and Son,TVONE,141675,134225,0.0525851421
Black Ink Crew,VH1,196330,165477,0.1571486782
Star vs. The Forces of Evil,DISNEYXD,133360,130477,0.0216181764
Sanford and Son,TVONE,155926,154972,0.0061182869
Milo Murphy's Law,DISNEYXD,152356,153016,-0.0043319594
The Fosters,FREEFORM,286789,259792,0.0941354097
The Game of Dating,TVONE,76970,76593,0.0048980122
Mean Girls,E!,251087,241353,0.0387674392
The Real Housewives of Beverly Hills,BRAVO,990505,949714,0.0411820233
Switched at Birth,FREEFORM,250430,222180,0.1128059737
Full House,NICK,592351,592348,5.06456475974549E-06
The Game of Dating,TVONE,63392,61054,0.0368816254
Kenan & Kel,TEENNCK,89311,86465,0.0318661755
Milo Murphy's Law,DISNEYXD,124522,114274,0.0822987103
Watch What Happens: Live,BRAVO,500239,487316,0.0258336515
Star Wars Rebels,DISNEYXD,91576,95538,-0.0432646108
Ridiculousness,MTV,199027,194440,0.0230471243
The Real Housewives of Beverly Hills,BRAVO,368888,352327,0.0448943853
Hey Arnold!,TEENNCK,69090,66091,0.0434071501
The Real Housewives of Atlanta,BRAVO,240861,252053,-0.0464666343
Fresh Prince of Bel-Air,NICK,378059,373217,0.0128075248
Martin,BET,160645,160461,0.0011453827
The Jeffersons,TVONE,51155,52464,-0.0255888965
Star vs. The Forces of Evil,DISNEYXD,94901,93877,0.0107901919
Keeping Up with the Kardashians,E!,71453,72660,-0.0168922229
Sam & Cat,TEENNCK,64149,62730,0.022120376
Gravity Falls,DISNEYXD,92048,90767,0.0139166522
Keeping Up with the Kardashians,E!,88934,88441,0.0055434367
The Real Housewives of New York City,BRAVO,100175,96012,0.0415572748
Keeping Up with the Kardashians,E!,98151,93941,0.0428930933
Keeping Up with the Kardashians,E!,98151,100271,-0.0215993724
Lab Rats,DISNEYXD,73465,72643,0.0111890016
Blaze and the Monster Machines,NICK,426308,422528,0.0088668287
The Real Housewives of New York City,BRAVO,120180,114180,0.0499251123
Gravity Falls,DISNEYXD,81694,78937,0.0337478885
The Middle,FREEFORM,153689,157250,-0.0231701683
Cooks vs. Cons,FOOD,264147,274910,-0.0407462511
Pokémon The Series: XY,DISNEYXD,75315,79516,-0.0557790613
Keeping Up with the Kardashians,E!,152772,154777,-0.0131241327
The Middle,FREEFORM,181314,181768,-0.0025039434
The Real Housewives of New York City,BRAVO,170810,157591,0.0773900825
